GBO Fashion	http://gbofashion.com	//div[contains(@class,"post")]/h2/a	//div[contains(@class,"post")]/h1	//div[@class="entry"]	//div[contains(@class,"post")]//div[@class="date"]	//li[contains(@class, "comment")]	//a[@class="next page-numbers"]		
The Stylish Housewife	http://thestylishhousewife.com	//div[@class="post"]//h2/a	//div[contains(@class,"post")]//h2	//div[contains(@class,"post")]/div[contains(@class, "entry")]	//div[contains(@class,"post")]//div[@class="stamp"]	//ol/li	//div[@class="navigation"]/div[@class="nalignleft"]/a		
Glitz and Gold	http://glitzandgold.com	//div[contains(@class,"post")]/h2[@class="post-title"]/a	//div[contains(@class,"post")]/h2	//div[contains(@class,"post")]/div[@class="post-content"]	//span[@class="post-date"]	//ul[@class="commentlist"]/li[contains(@class, "comment")]	//div[@class="pagination"]/div[contains(@class, "alignleft")]/a		
Chelsea And The City	http://www.chelseaandthecity.com/	//div[contains(@class, "post")]/h2//a	//div[contains(@class, "post")]/h2[@class="post_title"]/span	//div[@class="maincontent"]	//div[@class="info"]/p[contains(@class,"month")]	//ol[@class="commentlist"]/li	//div[@class="moreprevious"]/a		
PinkSole	http://pinksole.com	//div[contains(@class,"post")]/h2/a	//div[contains(@class,"post")]/h1	//div[contains(@class,"post")]/div[@class="entry-content"]	//span[@class="entry-date"]	//li[@class="post"]	//div[@id="nav-below"]/div[@class="nav-previous"]/a		
The Serena Saga	http://theserenasaga.com	//div[contains(@class, "post")]/h2[@class="entry-title"]/a	//h1[@class="entry-title"]	//div[@class="entry-content"]	//span[contains(@class, "date")]	//ol/li	//div[@class="navigation"]/ul/li[last()]/a		
Blah Blah Blonde	http://erikathomas.com	//h2[@class="entry-title"]/a	//h1[@class="entry-title"]	//div[@class="entry-content"]	//span[@class="entry-date"]	//ol/li	//div[@id="nav-below"]/div[@class="nav-previous"]/a		
Barefoot Blonde	http://barefootblonde.com/	//div/h2/a	//header/h1	//section[contains(@class,"entry")]	//li[contains(@class,"post-date")]/span	//ol/li	//div[@class="navigation"]/div[@class="alignright"]/a		
StreetScout	http://streetscout.me	//ul[@id="portfolioList"]/li/div[@class="shadow"]/a	//h1[@class="entry-title"]	//div[@id="content"]	//div[@id="primary"]/article/header/div/ul/li/span[@class="published"]				
Style with Shannon	http://stylewithshannon.com	//div[@id="content"]/article/header/h1/a	//h1[@class="entry-title"]	//div[@class="entry-content"]	//div[@class="entry-meta"]/a/time		//div[@class="nav-previous"]/a		
Rachel Sayumi	http://www.rachelsayumi.com	//h3[contains(@class, "post-title")]/a	//h3[contains(@class, "post-title")]	//div[contains(@class, "post-body")]	//h2[@class="date-header"]	//div[@class="comment-thread"]/ol/li	//span[@id="blog-pager-older-link"]/a		
Dreaming in Cashmere	http://www.dreamingincashmere.com/	//div[@class="title"]/h2/a	//div[@class="title"]/h2	//div[@class="entry"]	//div[@class="post_header"]/div[@class="meta"]	//ol[@class="commentalis"]/li	//div[@class="navigation"]/a		
Wild and precious	wild-and-precious.com	//h3[contains(@class, "post-title")]/a	//h3[contains(@class, "post-title")]	//div[contains(@class, "post-body")]	//h2[@class="date-header"]/span	//div[@class="comment-thread"]/ol/li	//span[@id="blog-pager-older-link"]/a		
Marielle Lauren	http://mariellelauren.com/	//h2[@class="entry-title"]/a	//h1[contains(@class, "entry-title")]	//div[contains(@class,"entry-content")]	//span[@class="entry-date"]/a		//div[@class="nav-numeric"]/a[contains(@class, "next")]		
Sunflowers and stilettos	http://sunflowersandstilettos.com/	//h2[@class="post_title"]/span/a	//h2[@class="post_title"]/span	//div[@class="maincontent"]	//div[@class="info"]		//div[@class="moreprevious"]/a		
Chloe's addiction	http://www.chloeting.com/	//div[@class="text-actual"]/h2/a	//div[@class="text-actual"]/h2/a	//div[@class="caption"]	//div[@class="date"]/a	//ul[@id="post-list"]/li	//div[@class="page-prev"]/a		
EXXOMODELS	http://www.exxomodels.com/blog/	//h1[@class="entry-title"]/a	//h1[@class="entry-title"]	//div[@class="entry-content"]	//time[@class="entry-date"]	//ol[@class="commentalis"]/li	//div[@class="nav-previous"]/a		
Beauty and the Budget	http://beautyandthebudget.onsugar.com	//h2/a	//h2/a	//div[@class="post_content"]	//div[@class="dateinfo"]	//div[@class="comment"]	//a[@class="pager-next"]		
Real girl glam	http://realgirlglam.com	//span[@class="headline"]/a	//h1[@class="headline"]	//div[@class="post_content"]	//span[@class="post_date"]	//ul[@class="comment_list"]/li	//span[@class="previous_posts"]/a		
Penny chic	http://pennychic.com/	//h3[@class="post-title-h3"]/a	//header/h3	//section[contains(@class,"cat-rail")]	//span[@class="date"]/time	//ol[@class="commentlist"]/li	//div[@id="content"]/a		
Emily Salomon	http://www.emilysalomon.dk/	//h1[@class="entry-title"]/a	//h1[@class="entry-title"]	//div[@class="entry-content"]	//time[@class="entry-date"]	//ol[@class="commentlist"]/li	//div[@class="nav-previous"]/a		
Elenita	http://elenita.no	//h2[@class="page_title"]/a	//h2[@class="page_title"]	//div[@class="entry"]	//div[@class="post-date"]/small/a	//ol[@class="commentlist"]/li	//div[@class="navigation"]/div[@class="alignleft"]/a		
Fashion flash	http://blogg.aftonbladet.se/fashionflash	//h1[@class="post-title"]/a[@rel="bookmark"]	//h1[@class="post-title"]/a	//div[@class="post-content"]	//span[contains(@class,"post-date")]	//ul[@id="post-list"]/li	//a[contains(@class, "align-left subtle-button")]		
Lesmads	http://lesmads.de	//article/h2/a	//article/h2	//article/div[@class="innerContent"]	//article/time	//ul[@id="comments"]/li	//section[@class="pagination"]/a		
Style me GRasie	http://grasiemercedes.com	//h1[@class="entry-title"]/a	//h1[@class="entry-title"]	//div[contains(@class,"entry-content")]	//span[@class="date"]	//ul[@id="post-list"]/li	//div[@class="nav-previous"]/a		
Negin Mirsalehi	http://www.neginmirsalehi.com/	//h2[@class="omc-blog-one-heading"]/a	//h1[@class="omc-post-heading"]	//div[contains(@class, "jpibfi_container")]	//p[@class="omc-blog-two-date"]	//ol[@class="commentlist"]/li	//div[@class="previous"]/a		
PHI-STYLE	http://phi-style.com	/h2[@class="entry-title"]/a	//h1[@class="entry-title"]	//div[contains(@class,"entry-content")]	//aside[@class="entry-details"]/a	//ol[@class="commentlist"]/li	//div[@class="nav-previous"]/a		
Evelinas fashion cafe	http://evelinasfashioncafe.com/	//h2[@class="post-title"]/span/a	//h2[@class="post_title"]/span	//div[@class="maincontent"]	//div[@class="info"]	//ol[@class="commentlist"]/li	//div[@class="moreprevious"]/a		
Six six sick	http://sixsixsick.blogspot.com/	//h3[contains(@class, "post-title")]/a	//h3[contains(@class, "post-title")]/a	//div[contains(@class, "post-body")]	//h2[@class="date-header"]/span	//div[@id="comments"]/div	//span[@id="blog-pager-older-link"]/a		
Modern Eve	http://modern-eve.com	//h2/a	//h2/a	//div[@id="blogcontent"]	//p[@class="date"]	//ul[@id="post-list"]/li	//a[@class="nextpostslink"]		
Lina Di Moda	http://linadimoda.freshnet.se/	//h2/a	//h1[@class="blog_title"]	//div[@class="blog_content"]	//div[@class="blog_date"]	//div[@class="comment"]	//a[@class="nextpostslink"]		
Depois Dos Quinze	http://depoisdosquinze.com/	//div[@class="conteudo-post-titulo"]/a	//div[@class="conteudo-post-titulo"]	//div[@class="conteudo-post-texto"]	//div[@class="conteudo-post-autor-data"]	//ol[@id="comentar-lista"]/li	//a[@class="nextpostslink"]		
