Problem URL,Blog Name,URL,Person's Name,Location,Source,Description
,40+Style - this site,http://40plusstyle.com/fashion-blog-singapore/,Sylvia,Singapore,http://40plusstyle.com/women-over-40-blogger-community/,"40+Style offers style ideas, how to dress and beauty information for women over 40."
,Not dressed as lamb,http://www.notdressedaslamb.com/,Catherine,England,http://40plusstyle.com/women-over-40-blogger-community/,"A British freelance writer/style blogger waving the fashion flag for 40-somethings.Sharing her personal style, photo tips, a few musings and great eyebrows"
,Chic at any age,http://chicat50plus.blogspot.com/,Josephine,"London, United Kingdom",http://40plusstyle.com/women-over-40-blogger-community/,I am a woman of mature years currently married to a gorgeous man. I have two grown up children and two wonderful grandsons. I spend my time between London and St. Tropez.
,The Style Crone,http://stylecrone.com/,Judith,"Denver, Colorado",http://40plusstyle.com/women-over-40-blogger-community/,"Welcome to Style Crone, dedicated to the older woman, in her most creative, outrageous, authentic, powerful, adventurous, funny, and proud era. Let’s take back the word crone, to its original meaning, signifying a woman of a “certain age’ who embodies all her life’s wisdom, knowledge, experience, and love."
,Beverly like Hills,http://www.beverlylikehills.com/,Beverly,"Orange County, CA",http://40plusstyle.com/women-over-40-blogger-community/,Beverly Like Hills: Fashion Over 40 Visit my blog at www.beverlylikehills.com
,A girl in Boston,http://www.agirlinboston.com/,Lissy,Bostoon California,http://40plusstyle.com/women-over-40-blogger-community/,"This Girl in Boston is a fashionista, food lover, home cook, friend, sister, daughter, world traveler, avid reader, Bostonian and finance professional. I am so inspired by the fashion and style of other women and so enjoy 
being a part of it all through reading the blogs of others. I started my blog, A Girl in Boston, to make my own small contribution to the world of style and because getting dressed each day is a joy for me.
"
,No Fear of Fashion,http://www.nofearoffashion.com/,Greetje,Netherlands,http://40plusstyle.com/women-over-40-blogger-community/,"About clothes, fashion, outfits and fun"
,Blue hue wonderland,http://bluehuewonderland.blogspot.com/,Ann,"St. Paul, Minnesota , US",http://40plusstyle.com/women-over-40-blogger-community/,"Hello! I'm Ann, an artist from St. Paul, Minnesota, with an passionate interest in fashion and photography. I started this blog to document my personal style and make pictures with a strong sense of place. Before art school, I studied commercial photography and I'm enjoying combining locations with my style."
,Curly Traveller,http://www.curlytraveller.com/,Anja,Netherlands,http://40plusstyle.com/women-over-40-blogger-community/,"Born in 1956 in the South of the Netherlands. Moved all over the place. Initially within Holland, that is."
,Lady of Style,http://www.ladyofstyle.com/,Annette,"Munich ,Germany",http://40plusstyle.com/women-over-40-blogger-community/,"Lady of Style, a personal fashion and style blog for mature women, shows how to look classy, stylish and trendy over 40. http://www.ladyofstyle.com/"
,Suzanne Carillo Style files,http://bisous.typepad.com/bisous/,Suzanne,"Toronto, Ontario CANADA",http://40plusstyle.com/women-over-40-blogger-community/,This blog started out as a way to promote my business (which is designing and selling scrapbooking products & cards) and has evolved into a fashion/lifestyle blog that also features my latest creations and DIY projects.
,Not dead yet style,http://notdeadyetstyle.blogspot.com/,Patti,"Florida ,US",http://40plusstyle.com/women-over-40-blogger-community/,"I am a fifty-something woman, wife, professional, auntie and crazy cat lady. Though pressured by society to recede gracefully, I prefer to burst out with a love of fashion and style. We are not dead yet, so let's enjoy every sandwich and gild the lilies."
,Recovering Shopaholic,www.recoveringshopaholic.com,Debbie,"San Diego, (CA) USA ",http://40plusstyle.com/women-over-40-blogger-community/,"Welcome to Recovering Shopaholic. If you want to curb your shopping habits, learn to dress in the best possible way for your body, life, and personality, and understand why you continue searching for more, keep reading. - See more at: http://recoveringshopaholic.com/about/#sthash.EuXzPsdv.dpuf"
This person no description put in the site,Stylish Murmurs,http://stylishmurmurs.blogspot.com/,Deborah,Australia,http://40plusstyle.com/women-over-40-blogger-community/,
,Mrs American Made,http://www.mrsamericanmade.com/,Ana,"Boulder, Colorado, US",http://40plusstyle.com/women-over-40-blogger-community/,Made in USA style blog - I have decided to wear more #MadeinUSA outfits and post photos of them here and on http://mrsamericanmade.tumblr.com/
,Bag and Beret,http://bagandaberet.blogspot.com/,Melanie,US,http://40plusstyle.com/women-over-40-blogger-community/,"The tingling sensation of hearing a piano played like abstract expressionism, the dizzy euphoria of belching a new painting, and the aroma of fresh-brewed coffee at the start and end of each adventure - these are some of the things that make my heart sing."
