Unusual,Blog Name,URL,Person's Name,Location,Source,Description,Corrections
,Ordinary Misfit,http://ordinarymisfit.com/,Michelle Roberts,"Durban, South Africa",http://weblogforlove.com/blog-directory/,"I am just an Ordinary Misfit in my extraordinary world….. I live in sunny Durban, South Africa with my husband and all our 4 legged babies.  This is my space where I can share my life and all of my loves.  I have a slight polish and nail art obsession but love beauty and bath/body products as well.  Stationary and books are also right up there.  Anything that I discover, use and love will be shared here.  So basically, here you will find the views, loves, reviews and life of me.",
,Head Over Heels,http://head-ova-heels.blogspot.com/,Nothando Tembe,"Durba, South Africa",http://weblogforlove.com/blog-directory/,"Nothando Tembe introduces to you all the latest trends, local and international designers. You can also find what your favourite local celebrities & international celebrities are wearing. The blog is focused on both local (South Africa) and international content and is a dream platform to any fashion lover.",
,HIGH HEELS AND FAIRYTALES,http://highheelsandfairytales.com/,Charlene,South Africa,http://weblogforlove.com/blog-directory/,"My name is Charlene, and I’m a full time mom to Zee, the most incredible little person on the planet. I love shopping, traveling, chocolate, reading, and music (no specific genre, if its good, I’ll play it at full blast and sing along!). I’ve been married to an amazing, loving man for 9 years. While hubby is at work, my day consists of teddy bear tea parties, cartoons, princess dress up, driving to ballet lessons, mommy-daughter milkshake dates, and reading fairy tales. Oh yes, and in between all that, I squeeze in a bit of cooking and cleaning too. I love this mommy gig, tantrum-filled moments and all.",
,CKO - Cool Kids Only,http://www.cko-coolkidsonly.blogspot.com/,Lauren Vogel,South Africa,http://weblogforlove.com/blog-directory/,"Mother, student blogger. In that order, I adore anything that has to do with fashion. Future magazine editor. Hopelessly obsessed with my son and shoes",
,The Sparkling Labyrinth,http://thesparklinglabyrinth.wordpress.com/,Faeema Sader,"Durban, South Africa",http://weblogforlove.com/blog-directory/,"Living life in sunny Durban. Future event planner and PR genius, but I’m still working on it. I have a need to write and reading keeps me sane.  I am a lover of beauty, food and nature. I love cooking, baking and eating of course. I keep it green where I can and am learning as I go along.  I have a lot to say about everything. A place to store my thoughts, ideas and opinions. This is a sample box of what goes on in my head.",
,Lu3lu's Crossing,http://www.lu3luscrossing.blogspot.com/,Lulu ElleCee,"Cape Town, South Africa",http://weblogforlove.com/blog-directory/,"I've been blogging for awhile now, and like so many other things struggled to find my exact footing with it, but with the love I have for media, entertainment, fashion, PR and events and witnessing this budding media & entertainment field in South Africa (where I live) it only seemed fit for me to blog about my passions. This blog is titled Lu3Lus Crossing, (the 3 is silent, so basically Lulu) and like a Zebra crossing this is where all my passions will cross. On here you will see me talk events (those I attend, and those I wish to attend) fashion, music, love, inspiration, and all the things that make Lulu Lu3Lu.",
,Time And A Few Moths,http://www.timeandafewmoths.com/,Lisa Zaaiman,"Gansbaai, South Africa",http://weblogforlove.com/blog-directory/,"I have big hair...a big mouth...and an even bigger heart. Ex-model, ex-smoker, ex-punk rocker.I don't know about tomorrow;It may bring me poverty.But the one who feeds the sparrow,Is the one who stands by me.",
,The Kokonut Stylist ,http://www.thekokonutstylist.blogspot.com/,Koko Shabangu,"Johannesburg, South Africa",http://weblogforlove.com/blog-directory/,"I am the Kokonust Stylist herself! Fashion stylist and Coco Chanel's reincarnation. To say I have a passion for fashion is an understatement-I am a FASHIONISTA! A lover of all things beautiful. I am a Daughter, Sister, Aunt, Cousin and Friend -BFF; u name it.! I love snakes (especially their skin..lol) but fear them to death..! I'd kill and die for my family. I am every-woman!",
,The Jam Jar,http://ohitsajamjar.blogspot.com/,Naeemah,"Cape Town, South Africa",http://weblogforlove.com/blog-directory/,"I am Naeemah, a 22 year old Junior Graphic Designer and Social Media Strategist that graduated with a diploma in Mutlimedia Technology at Cape Peninsula University of Technology. I currently stay in the beautiful Cape Town, South Africa. I'm your average girl with a slight twist. I don't have a particular reason for blogging. I do it because I like it.",
,Good Hair Diaries,http://www.goodhairdiaries.com/,Kavuli Nyali-Binase,"Johannesburg, South Africa",http://weblogforlove.com/blog-directory/,Good Hair Diaries was established in September of 2009 when I realized that I had a lot more knowledge about hair then the average consumer. The concept of Good Hair Diaries is to take the confusion and intimidation factor out of DIY hair care.,
