 100  50 6.6080878 10.0 3.6080878 5.0 2.6080878
 100  100 13.2161756 10.0 7.2161756 5.0 5.2161756
 1000  50 66.080878 100.0 36.080878 50.0 26.080878
 1000  100 132.161756 100.0 72.161756 50.0 52.161756
 10000  50 660.80878 1000.0 360.80878 500.0 260.80878
 10000  100 1321.61756 1000.0 721.61756 500.0 521.61756
 100000  50 6608.0878 10000.0 3608.0878 5000.0 2608.0878
 100000  100 13216.1756 10000.0 7216.1756 5000.0 5216.1756
 1000000  50 66080.878 100000.0 36080.878 50000.0 26080.878
 1000000  100 132161.756 100000.0 72161.756 50000.0 52161.756
